Journee,Team,Adversaire,H/A,resultat,p.,c.
12.0,Angers SCO,LOSC,H,1 - 0,1,0
12.0,LOSC,Angers SCO,A,1 - 0,0,1
12.0,Girondins de Bordeaux,FC Lorient,H,2 - 1,2,1
12.0,FC Lorient,Girondins de Bordeaux,A,2 - 1,1,2
12.0,Dijon FCO,EA Guingamp,H,3 - 3,3,3
12.0,EA Guingamp,Dijon FCO,A,3 - 3,3,3
12.0,Olympique Lyonnais,SC Bastia,H,2 - 1,2,1
12.0,SC Bastia,Olympique Lyonnais,A,2 - 1,1,2
12.0,FC Nantes,Toulouse FC,H,1 - 1,1,1
12.0,Toulouse FC,FC Nantes,A,1 - 1,1,1
12.0,SM Caen,OGC Nice,H,1 - 0,1,0
12.0,OGC Nice,SM Caen,A,1 - 0,0,1
12.0,FC Metz,AS Saint-Etienne,H,0 - 0,0,0
12.0,AS Saint-Etienne,FC Metz,A,0 - 0,0,0
12.0,Paris Saint-Germain,Stade Rennais FC,H,4 - 0,4,0
12.0,Stade Rennais FC,Paris Saint-Germain,A,4 - 0,0,4
13.0,FC Lorient,AS Monaco,H,0 - 3,0,3
13.0,AS Monaco,FC Lorient,A,0 - 3,3,0
13.0,LOSC,Olympique Lyonnais,H,0 - 1,0,1
13.0,Olympique Lyonnais,LOSC,A,0 - 1,1,0
13.0,Paris Saint-Germain,FC Nantes,H,2 - 0,2,0
13.0,FC Nantes,Paris Saint-Germain,A,2 - 0,0,2
13.0,SC Bastia,Montpellier Hérault SC,H,1 - 1,1,1
13.0,Montpellier Hérault SC,SC Bastia,A,1 - 1,1,1
13.0,AS Nancy Lorraine,Dijon FCO,H,1 - 0,1,0
13.0,Dijon FCO,AS Nancy Lorraine,A,1 - 0,0,1
13.0,Stade Rennais FC,Angers SCO,H,1 - 1,1,1
13.0,Angers SCO,Stade Rennais FC,A,1 - 1,1,1
13.0,Toulouse FC,FC Metz,H,1 - 2,1,2
13.0,FC Metz,Toulouse FC,A,1 - 2,2,1
